//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 12-8-2022
//--  Time: 16:18
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490.0 Ohms
//--    Temperature1: -40.0(C), 	Resistance 1: 45313 Ohms 
//--    Temperature2: 30(C), 	Resistance 2: 1707 Ohms 
//--    Temperature3: 100(C), 	Resistance 3: 187 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
205	137.72	1377 	1.001
206	137.38	1374 	1.006
207	137.05	1370 	1.011
208	136.71	1367 	1.016
209	136.38	1364 	1.021
210	136.05	1360 	1.025
211	135.72	1357 	1.030
212	135.39	1354 	1.035
213	135.06	1351 	1.040
214	134.73	1347 	1.045
215	134.41	1344 	1.050
216	134.09	1341 	1.055
217	133.76	1338 	1.060
218	133.44	1334 	1.064
219	133.12	1331 	1.069
220	132.81	1328 	1.074
221	132.49	1325 	1.079
222	132.17	1322 	1.084
223	131.86	1319 	1.089
224	131.55	1315 	1.094
225	131.24	1312 	1.099
226	130.93	1309 	1.104
227	130.62	1306 	1.108
228	130.31	1303 	1.113
229	130.00	1300 	1.118
230	129.70	1297 	1.123
231	129.39	1294 	1.128
232	129.09	1291 	1.133
233	128.79	1288 	1.138
234	128.49	1285 	1.143
235	128.19	1282 	1.147
236	127.89	1279 	1.152
237	127.60	1276 	1.157
238	127.30	1273 	1.162
239	127.01	1270 	1.167
240	126.71	1267 	1.172
241	126.42	1264 	1.177
242	126.13	1261 	1.182
243	125.84	1258 	1.187
244	125.55	1256 	1.191
245	125.26	1253 	1.196
246	124.98	1250 	1.201
247	124.69	1247 	1.206
248	124.40	1244 	1.211
249	124.12	1241 	1.216
250	123.84	1238 	1.221
251	123.56	1236 	1.226
252	123.27	1233 	1.230
253	122.99	1230 	1.235
254	122.72	1227 	1.240
255	122.44	1224 	1.245
256	122.16	1222 	1.250
257	121.88	1219 	1.255
258	121.61	1216 	1.260
259	121.34	1213 	1.265
260	121.06	1211 	1.270
261	120.79	1208 	1.274
262	120.52	1205 	1.279
263	120.25	1202 	1.284
264	119.98	1200 	1.289
265	119.71	1197 	1.294
266	119.44	1194 	1.299
267	119.17	1192 	1.304
268	118.91	1189 	1.309
269	118.64	1186 	1.313
270	118.38	1184 	1.318
271	118.11	1181 	1.323
272	117.85	1179 	1.328
273	117.59	1176 	1.333
274	117.33	1173 	1.338
275	117.07	1171 	1.343
276	116.81	1168 	1.348
277	116.55	1165 	1.353
278	116.29	1163 	1.357
279	116.03	1160 	1.362
280	115.78	1158 	1.367
281	115.52	1155 	1.372
282	115.27	1153 	1.377
283	115.01	1150 	1.382
284	114.76	1148 	1.387
285	114.51	1145 	1.392
286	114.25	1143 	1.396
287	114.00	1140 	1.401
288	113.75	1138 	1.406
289	113.50	1135 	1.411
290	113.25	1133 	1.416
291	113.01	1130 	1.421
292	112.76	1128 	1.426
293	112.51	1125 	1.431
294	112.26	1123 	1.436
295	112.02	1120 	1.440
296	111.77	1118 	1.445
297	111.53	1115 	1.450
